ID,Name,Category,Address,Phone,Website,Hours,Description,Latitude,Longitude
1,Dapoli Katta,Restaurant,Near Bus Stand Dapoli Maharashtra 415712,9876543210,http://dapolikatta.com,Mon-Sun: 10AM-10PM,Popular local eatery serving Konkani cuisine.,17.7501,73.1818
2,Sea Breeze Resorts,Hotel,Ladghar Beach Rd Dapoli Maharashtra 415712,8765432109,http://seabreezeresorts.com,24 Hours,Comfortable beachfront resort with great views.,17.6589,73.1367
3,Green Pharmacy,Pharmacy,Main Market Dapoli Maharashtra 415712,7654321098,N/A,Mon-Sat: 9AM-9PM,Well-stocked pharmacy with general medicines.,17.7495,73.1805
4,Konkan Art Gallery,Art Gallery,Near Agricultural University Dapoli Maharashtra 415712,6543210987,N/A,Tue-Sun: 11AM-7PM,Showcasing local Konkan artwork and crafts.,17.7550,73.1850
5,Fisherman's Catch,Seafood,Guhagar Rd Near Kadyavarcha Ganpati Dapoli Maharashtra 415712,9988776655,N/A,Mon-Sun: 12PM-11PM,Fresh seafood restaurant with daily specials.,17.7300,73.1700
6,Dapoli Book Mart,Book Store,College Road Dapoli Maharashtra 415712,9123456789,N/A,Mon-Sat: 10AM-8PM,Variety of books stationery and magazines.,17.7480,73.1825
7,Sahyadri Spices,Grocery Store,Shivaji Chowk Dapoli Maharashtra 415712,9012345678,N/A,Mon-Sun: 8AM-9PM,Local grocery store specializing in Konkan spices.,17.7470,73.1810
8,Palm Haven Homestay,Homestay,Murud Beach Rd Dapoli Maharashtra 415712,8901234567,N/A,24 Hours,Peaceful homestay amidst coconut groves.,17.7010,73.1300
9,Dapoli General Hospital,Hospital,Dapoli-Dabhol Rd Dapoli Maharashtra 415712,7890123456,N/A,24 Hours,Community hospital providing medical services.,17.7530,73.1790
10,Konkan Cafe,Cafe,Main Market Dapoli Maharashtra 415712,9765432101,N/A,Mon-Sun: 8AM-9PM,Cozy cafe offering coffee and snacks.,17.7490,73.1815
11,Shanti Medicals,Pharmacy,Near ST Bus Stand Dapoli 415712,9421001001,N/A,Mon-Sat: 9AM-9PM,Reliable medical store with broad range of medicines.,17.7505,73.1810
12,Coastal Arts & Crafts,Gift Shop,Karde Beach Road Dapoli 415712,8805002002,N/A,Mon-Sun: 10AM-8PM,Handmade souvenirs and local artistry.,17.6890,73.1250
13,Prasad Jewellers,Jewellery Shop,Main Bazar Dapoli 415712,7709003003,N/A,Mon-Sat: 10AM-8PM,Traditional and modern jewellery designs.,17.7488,73.1808
14,Dapoli Computer Services,Computer Repair,College Road Dapoli 415712,9325004004,N/A,Mon-Sat: 9:30AM-7PM,Computer sales and repair services.,17.7475,73.1820
15,Shivneri Tours & Travels,Travel Agency,Near Bank of India Dapoli 415712,9970005005,N/A,Mon-Sat: 9AM-6PM,Tour packages and vehicle rentals.,17.7510,73.1800
16,Ganesh Dairy & Sweets,Sweet Shop,Shivaji Chowk Dapoli 415712,9890006006,N/A,Mon-Sun: 7AM-10PM,Fresh milk products and traditional Indian sweets.,17.7472,73.1808
